Rank,WSIS,Tight Ends,Team,Opp,Best,Worst,Avg,Std Dev
1,,Travis Kelce,KC,at OAK,1,2,1,0
2,,Zach Ertz,PHI,vs. WAS,1,4,2.1,0.3
3,,Rob Gronkowski,NE,vs. MIN,2,7,3.7,0.9
4,,George Kittle,SF,at SEA,2,8,4.2,1.2
5,,Eric Ebron,IND,at JAC,2,7,4.4,0.9
6,,Greg Olsen,CAR,at TB,4,9,6.3,1
7,,Cameron Brate,TB,vs. CAR,5,13,7.5,1.3
8,,Jared Cook,OAK,vs. KC,6,10,7.7,1.1
9,,David Njoku,CLE,at HOU,5,14,8.6,1.3
10,,Jordan Reed,WAS,at PHI,6,13,10,1.1
11,,Trey Burton,CHI,at NYG,8,13,11.3,0.8
12,,Austin Hooper,ATL,vs. BAL,9,17,12,1.4
13,,Vance McDonald,PIT,vs. LAC,9,16,13.1,0.9
14,,Kyle Rudolph,MIN,at NE,11,17,14,1.3
15,,Chris Herndon IV,NYJ,at TEN,12,20,15.8,1.5
16,,Jonnu Smith,TEN,vs. NYJ,12,22,17.4,1.8
17,,Gerald Everett,LAR,at DET,14,24,17.4,1.9
18,,C.J. Uzomah,CIN,vs. DEN,15,23,17.9,1.3
19,,Jimmy Graham,GB,vs. ARI,13,25,18.5,2
20,,Matt LaCosse,DEN,at CIN,10,23,18.6,2.2
21,,Benjamin Watson,NO,at DAL,16,30,22.6,2.2
22,,Nick Vannett,SEA,vs. SF,18,35,22.6,2.2
23,,Antonio Gates,LAC,at PIT,21,32,24.6,2.1
24,,Tyler Higbee,LAR,at DET,16,30,24.6,2.5
25,,Jesse James,PIT,vs. LAC,19,35,26.3,3.4
26,,Ricky Seals-Jones,ARI,at GB,23,33,26.8,2.1
27,,Vernon Davis,WAS,at PHI,24,40,29.3,2.4
28,,Mark Andrews,BAL,at ATL,20,52,30.1,5.2
29,,Dallas Goedert,PHI,vs. WAS,22,45,30.4,3.9
30,,Ed Dickson,SEA,vs. SF,23,37,31.8,2.3
31,,James O'Shaughnessy,JAC,vs. IND,15,37,31.9,2.1
32,,Hayden Hurst,BAL,at ATL,24,50,34.8,6.9
33,,Rhett Ellison,NYG,vs. CHI,22,43,32.6,5.3
34,,Lance Kendricks,GB,vs. ARI,30,45,36.7,3.5
35,,Michael Roberts,DET,vs. LAR,23,46,31.5,4.4
36,,Mo Alie-Cox,IND,at JAC,14,53,35.7,3.4
37,,Mike Gesicki,MIA,vs. BUF,33,56,38.3,2.6
38,,Ryan Griffin,HOU,vs. CLE,30,46,36.8,3.3
39,,Dan Arnold,NO,at DAL,15,44,28.3,5.6
40,,Blake Jarwin,DAL,vs. NO,32,50,41.6,4.2
41,,Jordan Thomas,HOU,vs. CLE,34,48,40.2,2.4
42,,Josh Hill,NO,at DAL,36,53,43.3,3.1
43,,Jason Croom,BUF,at MIA,33,48,40.8,3.9
44,,Virgil Green,LAC,at PIT,35,47,41.5,2
45,,Dalton Schultz,DAL,vs. NO,27,61,49.7,3.6
46,,Jordan Akins,HOU,vs. CLE,41,55,45.5,1.6
47,,Nick Boyle,BAL,at ATL,26,55,46.1,4.6
48,,Luke Stocker,TEN,vs. NYJ,40,58,46.3,2.6
49,,Demetrius Harris,KC,at OAK,43,57,48.8,2.4
50,,Luke Willson,DET,vs. LAR,44,62,49.7,3.7
51,,Jermaine Gresham,ARI,at GB,42,56,51.6,1.8
52,,Logan Thomas,BUF,at MIA,39,94,53.8,4.2
53,,Rico Gathers,DAL,vs. NO,50,65,57.2,3.6
54,,Nick O'Leary,MIA,vs. BUF,36,73,56.1,6.7
55,,Blake Bell,JAC,vs. IND,53,63,57.1,2.6
56,,Levine Toilolo,DET,vs. LAR,47,64,56.6,4.2
57,,Erik Swoope,IND,at JAC,29,73,51.8,11.9
58,,Darren Fells,CLE,at HOU,53,68,61,3.4
59,,Xavier Grimble,PIT,vs. LAC,52,87,63,6.5
60,,Antony Auclair,TB,vs. CAR,54,73,59.8,2.8
61,,Jordan Leggett,NYJ,at TEN,50,66,55.6,3.7
62,,Logan Paulsen,ATL,vs. BAL,47,71,64.7,4.1
63,,Anthony Firkser,TEN,vs. NYJ,25,67,51.1,7
64,,A.J. Derby,MIA,vs. BUF,51,84,58.8,3.8
65,,Seth DeValve,CLE,at HOU,57,77,65.3,5.1
66,,Durham Smythe,MIA,vs. BUF,46,90,62.8,6.9
67,,Eric Tomlinson,NYJ,at TEN,61,80,66.8,2.8
68,,Charles Clay,BUF,at MIA,29,81,52.7,5.2
69,,Lee Smith,OAK,vs. KC,61,75,65.6,2.3
70,,Marcedes Lewis,GB,vs. ARI,57,71,65.9,1.4
71,,Brian Parker,DEN,at CIN,46,65,57.3,3.4
72,,Garrett Celek,SF,at SEA,47,84,64.9,6.7
73,,Jaylen Samuels,PIT,vs. LAC,51,73,61.4,8.3
74,,Adam Shaheen,CHI,at NYG,58,82,70.4,6.4
75,,Scott Simonson,NYG,vs. CHI,58,74,63.8,5
76,,Ben Koyack,JAC,vs. IND,58,81,64.8,6.7
77,,Derek Carrier,OAK,vs. KC,56,77,71.4,3.8
78,,Maxx Williams,BAL,at ATL,57,95,69,14.4
79,,Matt Lengel,CIN,vs. DEN,60,74,68,5.9
80,,Jacob Hollister,NE,vs. MIN,66,72,68.3,2.6
81,,Robert Tonyan,GB,vs. ARI,69,92,75.6,2.2
82,,MyCole Pruitt,TEN,vs. NYJ,72,79,76.6,2.1
83,,Jeremy Sprinkle,WAS,at PHI,63,66,64.5,1.5
84,,Ben Braunecker,CHI,at NYG,71,83,76.3,4.4
85,,Chris Manhertz,CAR,at TB,63,77,70,7
86,,Orson Charles,CLE,at HOU,71,80,77.8,3.9
87,,Eric Saubert,ATL,vs. BAL,69,78,73.5,4.5
88,,Ian Thomas,CAR,at TB,68,81,74.5,6.5
89,,Sean Culkin,LAC,at PIT,71,85,78,7
90,,Tyler Conklin,NE ,vs. MIN,82,82,82,0
91,,Daniel Brown,CHI,at NYG,83,88,85.5,2.5
