"Rank","WSIS","Team DST","Opp","Best","Worst","Avg","Std Dev"
"1","","Buffalo (BUF)","vs. NYJ","1","9","2.5","1.1"
"2","","Los Angeles (LAC)","vs. CIN","1","4","1.6","0.8"
"3","","Tennessee (TEN)","vs. JAC","1","12","3.0","1.4"
"4","","Pittsburgh (PIT)","at OAK","1","10","4.0","1.4"
"5","","Denver (DEN)","at SF","2","10","5.3","1.4"
"6","","Jacksonville (JAC)","at TEN","4","14","7.0","2.2"
"7","","Dallas (DAL)","vs. PHI","5","18","7.9","2.0"
"8","","Los Angeles (LAR)","at CHI","4","21","10.3","3.7"
"9","","New England (NE)","at MIA","7","19","11.1","2.1"
"10","","Houston (HOU)","vs. IND","7","27","11.6","3.4"
"11","","Seattle (SEA)","vs. MIN","7","18","12.5","2.4"
"12","","Washington (WAS)","vs. NYG","7","19","12.3","2.7"
"13","","New York (NYJ)","at BUF","7","21","12.8","2.8"
"14","","Detroit (DET)","at ARI","4","25","13.7","5.5"
"15","","New Orleans (NO)","at TB","2","20","14.3","2.8"
"16","","Arizona (ARI)","vs. DET","4","19","14.3","3.1"
"17","","Kansas City (KC)","vs. BAL","5","22","15.4","3.3"
"18","","New York (NYG)","at WAS","3","21","15.5","5.1"
"19","","Chicago (CHI)","vs. LAR","11","26","16.9","3.1"
"20","","Carolina (CAR)","at CLE","13","21","18.0","1.8"
"21","","Philadelphia (PHI)","at DAL","17","25","21.2","1.5"
"22","","Green Bay (GB)","vs. ATL","6","27","21.9","3.1"
"23","","Minnesota (MIN)","at SEA","18","25","22.4","1.3"
"24","","Baltimore (BAL)","at KC","19","27","23.9","1.8"
"25","","Cleveland (CLE)","vs. CAR","16","27","24.9","2.2"
"26","","Indianapolis (IND)","at HOU","23","28","25.0","0.9"
"27","","Miami (MIA)","vs. NE","23","29","27.3","1.3"
"28","","San Francisco (SF)","vs. DEN","23","29","27.1","1.3"
"29","","Atlanta (ATL)","at GB","24","30","28.6","0.6"
"30","","Cincinnati (CIN)","at LAC","30","31","30.2","0.4"
"31","","Oakland (OAK)","vs. PIT","30","32","30.9","0.4"
"32","","Tampa Bay (TB)","vs. NO","31","33","32.0","0.0"
""
""
