"Rank","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev"
"1","","Todd Gurley","LAR","at CHI","1","7","1.7","1.0"
"2","","Christian McCaffrey","CAR","at CLE","1","7","2.3","1.0"
"3","","Ezekiel Elliott","DAL","vs. PHI","1","5","2.6","0.8"
"4","","Alvin Kamara","NO","at TB","1","7","4.2","1.1"
"5","","Saquon Barkley","NYG","at WAS","2","6","4.5","0.8"
"6","","Aaron Jones","GB","vs. ATL","2","9","5.9","0.7"
"7","","Nick Chubb","CLE","vs. CAR","6","10","7.3","0.8"
"8","","Phillip Lindsay","DEN","at SF","5","12","7.9","0.9"
"9","","Leonard Fournette","JAC","at TEN","6","15","9.4","1.3"
"10","","David Johnson","ARI","vs. DET","7","16","9.7","1.1"
"11","","Joe Mixon","CIN","at LAC","9","24","12.2","1.9"
"12","","Sony Michel","NE","at MIA","8","26","12.8","1.9"
"13","","Lamar Miller","HOU","vs. IND","10","20","13.4","1.9"
"14","","Mark Ingram","NO","at TB","10","23","15.0","3.2"
"15","","Dalvin Cook","MIN","at SEA","10","23","15.4","2.3"
"16","","Gus Edwards","BAL","at KC","13","29","17.6","3.0"
"17","","Spencer Ware","KC","vs. BAL","12","32","18.6","2.0"
"18","","James White","NE","at MIA","12","35","19.2","2.5"
"19","","Tarik Cohen","CHI","vs. LAR","13","36","19.2","2.8"
"20","","Austin Ekeler","LAC","vs. CIN","8","33","19.5","4.5"
"21","","Jeff Wilson","SF","vs. DEN","12","34","20.3","4.6"
"22","","Adrian Peterson","WAS","vs. NYG","15","30","21.7","2.2"
"23","","Jaylen Samuels","PIT","at OAK","11","33","22.4","3.8"
"24","","LeSean McCoy","BUF","vs. NYJ","12","35","23.7","3.3"
"25","","Justin Jackson","LAC","vs. CIN","11","34","24.3","4.6"
"26","","Chris Carson","SEA","vs. MIN","16","29","24.4","2.0"
"27","","Josh Adams","PHI","at DAL","17","30","26.8","1.5"
"28","","Marlon Mack","IND","at HOU","20","32","27.0","1.9"
"29","","Tevin Coleman","ATL","at GB","23","32","28.4","1.8"
"30","","Kenyan Drake","MIA","vs. NE","23","32","29.4","1.3"
"31","","Jordan Howard","CHI","vs. LAR","25","37","31.5","1.4"
"32","","LeGarrette Blount","DET","at ARI","20","45","32.6","4.6"
"33","","Dion Lewis","TEN","vs. JAC","25","46","33.1","1.9"
"34","","Isaiah Crowell","NYJ","at BUF","18","40","34.6","2.6"
"35","","Doug Martin","OAK","vs. PIT","29","48","34.7","2.3"
"36","","Peyton Barber","TB","vs. NO","28","38","34.9","1.2"
"37","","Jalen Richard","OAK","vs. PIT","35","46","37.3","1.7"
"38","","Derrick Henry","TEN","vs. JAC","27","43","38.9","1.5"
"39","","Chris Thompson","WAS","vs. NYG","29","45","40.0","2.6"
"40","","Theo Riddick","DET","at ARI","35","52","40.1","2.8"
"41","","Frank Gore","MIA","vs. NE","35","47","40.8","2.4"
"42","","Rashaad Penny","SEA","vs. MIN","35","57","43.3","3.3"
"43","","Royce Freeman","DEN","at SF","36","51","43.8","2.4"
"44","","Stevan Ridley","PIT","at OAK","32","75","43.9","5.2"
"45","","Nyheim Hines","IND","at HOU","34","49","43.7","2.0"
"46","","Duke Johnson","CLE","vs. CAR","39","57","46.5","3.3"
"47","","Ito Smith","ATL","at GB","40","53","47.3","1.6"
"48","","Elijah McGuire","NYJ","at BUF","41","54","47.9","2.3"
"49","","Rex Burkhead","NE","at MIA","34","64","49.5","4.7"
"50","","Kenneth Dixon","BAL","at KC","41","68","51.5","3.2"
"51","","T.J. Yeldon","JAC","at TEN","46","55","50.1","2.1"
"52","","Ty Montgomery","BAL","at KC","44","60","51.6","2.8"
"53","","Latavius Murray","MIN","at SEA","39","63","53.1","3.2"
"54","","Giovani Bernard","CIN","at LAC","45","58","53.0","1.8"
