"Rank","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev"
"1","","Travis Kelce","KC","vs. BAL","1","2","1.0","0.0"
"2","","Zach Ertz","PHI","at DAL","2","4","2.3","0.5"
"3","","Eric Ebron","IND","at HOU","2","6","3.8","0.7"
"4","","George Kittle","SF","vs. DEN","2","7","4.1","1.1"
"5","","Rob Gronkowski","NE","at MIA","2","9","5.2","0.9"
"6","","Jared Cook","OAK","vs. PIT","5","9","6.8","0.7"
"7","","David Njoku","CLE","vs. CAR","6","15","8.5","1.5"
"8","","Cameron Brate","TB","vs. NO","7","18","9.5","1.6"
"9","","Jordan Reed","WAS","vs. NYG","6","14","10.1","1.4"
"10","","Vance McDonald","PIT","at OAK","5","14","10.5","1.7"
"11","","Austin Hooper","ATL","at GB","7","14","10.6","1.4"
"12","","Jaylen Samuels","PIT","at OAK","1","31","6.9","5.0"
"13","","Trey Burton","CHI","vs. LAR","9","18","13.1","1.6"
"14","","Jimmy Graham","GB","vs. ATL","10","31","13.3","1.3"
"15","","Kyle Rudolph","MIN","at SEA","12","18","14.7","1.3"
"16","","C.J. Uzomah","CIN","at LAC","13","27","16.3","1.6"
"17","","Chris Herndon IV","NYJ","at BUF","14","23","17.8","1.6"
"18","","Matt LaCosse","DEN","at SF","10","33","20.1","2.8"
"19","","Gerald Everett","LAR","at CHI","16","26","21.4","2.4"
"20","","Ian Thomas","CAR","at CLE","13","28","21.4","2.3"
"21","","Antonio Gates","LAC","vs. CIN","17","35","23.1","3.2"
"22","","Jordan Thomas","HOU","vs. IND","16","33","24.1","3.2"
"23","","Mark Andrews","BAL","at KC","16","34","24.7","3.5"
"24","","Dan Arnold","NO","at TB","15","33","24.8","3.2"
"25","","Ricky Seals-Jones","ARI","vs. DET","20","35","27.0","3.1"
"26","","Evan Engram","NYG","at WAS","15","44","24.6","5.6"
"27","","Nick Vannett","SEA","vs. MIN","20","42","28.4","3.1"
"28","","Jesse James","PIT","at OAK","25","38","29.4","2.8"
"29","","Tyler Higbee","LAR","at CHI","24","32","28.9","1.8"
"30","","Benjamin Watson","NO","at TB","21","41","28.9","4.4"
"31","","Vernon Davis","WAS","vs. NYG","27","34","30.5","1.9"
"32","","Dallas Goedert","PHI","at DAL","26","45","34.8","2.5"
"33","","Rhett Ellison","NYG","at WAS","19","72","34.6","5.0"
"34","","James O'Shaughnessy","JAC","at TEN","28","45","35.1","2.2"
"35","","Levine Toilolo","DET","at ARI","22","47","33.5","5.0"
"36","","Charles Clay","BUF","vs. NYJ","24","45","37.3","3.5"
"37","","Mike Gesicki","MIA","vs. NE","34","53","39.9","2.5"
