--------------------------------------------------------------------------------
FORMAT:
NAME,POSITION,TEAM,OPP,FANTASY PROS RANK,ESPN PROJ POINTS, DRAFT KINGS SALARY
--------------------------------------------------------------------------------
Christian McCaffrey,RB,Carolina Panthers,Cleveland Browns,2.2,24.1,9300
Saquon Barkley,RB,New York Giants,Washington Redskins,4.5,22.1,8900
Todd Gurley,RB,Los Angeles Rams,Chicago Bears,2.0,21.5,8800
Ezekiel Elliott,RB,Dallas Cowboys,Philadelphia Eagles,2.6,23.4,8600
Alvin Kamara,RB,New Orleans Saints,Tampa Bay Buccaneers,4.1,20.7,8100
Aaron Jones,RB,Green Bay Packers,Atlanta Falcons,5.8,17.9,7200
Nick Chubb,RB,Cleveland Browns,Carolina Panthers,7.4,20.0,6700
James White,RB,New England Patriots,Miami Dolphins,19.6,14.9,6600
David Johnson,RB,Arizona Cardinals,Detroit Lions,9.8,19.2,6500
Tarik Cohen,RB,Chicago Bears,Los Angeles Rams,19.5,14.6,6400
Joe Mixon,RB,Cincinnati Bengals,Los Angeles Chargers,12.3,13.2,6400
Phillip Lindsay,RB,Denver Broncos,San Francisco 49ers,7.9,16.0,6300
Austin Ekeler,RB,Los Angeles Chargers,Cincinnati Bengals,19.7,19.1,6200
Sony Michel,RB,New England Patriots,Miami Dolphins,12.4,14.2,5900
Dalvin Cook,RB,Minnesota Vikings,Seattle Seahawks,14.7,14.1,5800
Mark Ingram,RB,New Orleans Saints,Tampa Bay Buccaneers,15.1,14.0,5700
Kerryon Johnson,RB,Detroit Lions,Arizona Cardinals,68.0,16.8,5500
Chris Thompson,RB,Washington Redskins,New York Giants,40.3,11.7,5400
Josh Adams,RB,Philadelphia Eagles,Dallas Cowboys,27.1,10.6,5300
Spencer Ware,RB,Kansas City Chiefs,Baltimore Ravens,18.8,14.0,5200
Lamar Miller,RB,Houston Texans,Indianapolis Colts,13.3,13.7,5100
LeSean McCoy,RB,Buffalo Bills,New York Jets,23.4,13.7,5000
Chris Carson,RB,Seattle Seahawks,Minnesota Vikings,24.8,12.7,4900
Adrian Peterson,RB,Washington Redskins,New York Giants,21.9,13.3,4800
Theo Riddick,RB,Detroit Lions,Arizona Cardinals,40.0,11.7,4700
Marlon Mack,RB,Indianapolis Colts,Houston Texans,27.6,11.7,4600
Gus Edwards,RB,Baltimore Ravens,Kansas City Chiefs,16.9,11.2,4500
