"Rank","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev"
"1","","Michael Thomas","NO","at CAR","1","4","1.4","0.7"
"2","","DeAndre Hopkins","HOU","at NYJ","1","8","3.2","1.4"
"3","","Keenan Allen","LAC","at KC","1","9","3.5","1.2"
"4","","Antonio Brown","PIT","vs. NE","1","7","3.6","1.7"
"5","","Julio Jones","ATL","vs. ARI","1","12","5.0","1.9"
"6","","Adam Thielen","MIN","vs. MIA","2","8","6.4","1.2"
"7","","Davante Adams","GB","at CHI","3","10","6.9","1.8"
"8","","Tyreek Hill","KC","vs. LAC","3","15","8.1","2.3"
"9","","JuJu Smith-Schuster","PIT","vs. NE","4","13","8.7","1.6"
"10","","Robert Woods","LAR","vs. PHI","5","17","10.8","1.3"
"11","","Amari Cooper","DAL","at IND","8","14","10.9","1.2"
"12","","Brandin Cooks","LAR","vs. PHI","7","14","11.6","1.6"
"13","","T.Y. Hilton","IND","vs. DAL","6","19","13.4","1.9"
"14","","Stefon Diggs","MIN","vs. MIA","12","15","13.7","0.8"
"15","","Julian Edelman","NE","at PIT","14","22","15.6","0.9"
"16","","Mike Evans","TB","at BAL","15","25","17.3","1.4"
"17","","Josh Gordon","NE","at PIT","16","24","18.2","1.0"
"18","","Tyler Lockett","SEA","at SF","15","24","18.5","2.1"
"19","","Tyler Boyd","CIN","vs. OAK","18","24","19.9","1.4"
"20","","Jarvis Landry","CLE","at DEN","16","26","20.0","2.3"
"21","","Allen Robinson","CHI","vs. GB","16","29","21.7","1.9"
"22","","Corey Davis","TEN","at NYG","21","28","23.3","1.4"
"23","","D.J. Moore","CAR","vs. NO","19","31","24.1","2.1"
"24","","Alshon Jeffery","PHI","at LAR","20","34","24.4","1.9"
"25","","Kenny Golladay","DET","at BUF","21","38","26.2","3.0"
"26","","Curtis Samuel","CAR","vs. NO","21","39","26.5","2.7"
"27","","Courtland Sutton","DEN","vs. CLE","21","38","27.8","3.0"
"28","","Calvin Ridley","ATL","vs. ARI","25","37","30.0","2.6"
"29","","Chris Godwin","TB","at BAL","26","43","30.6","3.0"
"30","","Larry Fitzgerald","ARI","at ATL","25","45","31.2","2.5"
"31","","Josh Reynolds","LAR","vs. PHI","28","39","31.6","2.3"
"32","","Dante Pettis","SF","vs. SEA","26","44","33.0","4.2"
"33","","Odell Beckham Jr.","NYG","vs. TEN","5","48","18.4","9.5"
"34","","Adam Humphries","TB","at BAL","30","47","35.0","2.3"
