QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
11746355,11746771,11745841,11745908,11746176,11745815,11745830,11746004,11745892,,1. Locate the player you want to select in the list below ,,,,,,,,
11745798,11746771,11745777,11746745,11746724,11745949,11745843,11746782,11745892,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
11746784,11745856,11746709,11746690,11746739,11746704,11745830,11746749,11746149,,3. Paste the ID into the roster position desired ,,,,,,,,
11745990,11746771,11746706,11746445,11745995,11745882,11746798,11745784,11746711,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
11745990,11745856,11746695,11746690,11746669,11746699,11746688,11746749,11746638,,5. You can create up to 500 lineups per file ,,,,,,,,
11746784,11746782,11746634,11746690,11746669,11745779,11745843,11746004,11746638,,,,,,,,,,
11745922,11746791,11746782,11746445,11745908,11745936,11745830,11745771,11745892,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
11746128,11745777,11746709,11746757,11746718,11746010,11745843,11746634,11745951,,RB,Christian McCaffrey (11746753),Christian McCaffrey,11746753,RB/FLEX,9300,CAR@CLE 12/09/2018 01:00PM ET,CAR,26.05
11746784,11746753,11746709,11746424,11745859,11745819,11745843,11746625,11745892,,WR,Antonio Brown (11746778),Antonio Brown,11746778,WR/FLEX,9000,PIT@OAK 12/09/2018 04:25PM ET,PIT,22.32
11746731,11746695,11746709,11746690,11745766,11745977,11745843,11745845,11745892,,RB,Saquon Barkley (11746791),Saquon Barkley,11746791,RB/FLEX,8900,NYG@WAS 12/09/2018 01:00PM ET,NYG,26.55
11746678,11745856,11746709,11746745,11745791,11745906,11745843,11745878,11745892,,RB,Todd Gurley II (11745801),Todd Gurley II,11745801,RB/FLEX,8800,LAR@CHI 12/09/2018 08:20PM ET,LAR,28.99
11746731,11746753,11745801,11746704,11746722,11746629,11745830,11746709,11745951,,WR,Michael Thomas (11746712),Michael Thomas,11746712,WR/FLEX,8600,NO@TB 12/09/2018 01:00PM ET,NO,21.5
11746784,11746753,11746709,11746445,11745787,11745977,11745843,11746634,11745892,,RB,Ezekiel Elliott (11746771),Ezekiel Elliott,11746771,RB/FLEX,8600,PHI@DAL 12/09/2018 04:25PM ET,DAL,23.44
11745858,11745856,11746695,11745821,11746718,11745927,11745830,11745823,11745892,,WR,Davante Adams (11746757),Davante Adams,11746757,WR/FLEX,8400,ATL@GB 12/09/2018 01:00PM ET,GB,22.88
11745858,11745801,11745777,11745821,11746722,11745852,11746167,11746695,11745892,,WR,Odell Beckham Jr. (11746745),Odell Beckham Jr.,11746745,WR/FLEX,8300,NYG@WAS 12/09/2018 01:00PM ET,NYG,20.53
11745922,11746753,11746771,11745787,11745819,11745815,11745830,11746709,11745951,,WR,JuJu Smith-Schuster (11746727),JuJu Smith-Schuster,11746727,WR/FLEX,8200,PIT@OAK 12/09/2018 04:25PM ET,PIT,19.89
11745858,11745856,11746782,11746445,11745766,11745803,11745830,11745771,11745951,,RB,Alvin Kamara (11745841),Alvin Kamara,11745841,RB/FLEX,8100,NO@TB 12/09/2018 01:00PM ET,NO,24.81
11745858,11746771,11746695,11746745,11746650,11746400,11745843,11746782,11745951,,WR,Adam Thielen (11746669),Adam Thielen,11746669,WR/FLEX,8100,MIN@SEA 12/10/2018 08:15PM ET,MIN,24.88
11745990,11746695,11745836,11746445,11746757,11746139,11745830,11745771,11746149,,WR,Tyreek Hill (11745766),Tyreek Hill,11745766,WR/FLEX,8000,BAL@KC 12/09/2018 01:00PM ET,KC,22.81
11745858,11746771,11746634,11745910,11745864,11746767,11745830,11746625,11746726,,RB,Melvin Gordon III (11745805),Melvin Gordon III,11745805,RB/FLEX,8000,CIN@LAC 12/09/2018 04:05PM ET,LAC,26.35
11746678,11745841,11745777,11745766,11746699,11745942,11745843,11746709,11745951,,WR,Julio Jones (11746690),Julio Jones,11746690,WR/FLEX,7900,ATL@GB 12/09/2018 01:00PM ET,ATL,21.62
11745922,11746753,11746771,11746010,11746650,11746724,11746735,11746634,11745951,,WR,DeAndre Hopkins (11745821),DeAndre Hopkins,11745821,WR/FLEX,7800,IND@HOU 12/09/2018 01:00PM ET,HOU,20.73
11745990,11745841,11746706,11746445,11745787,11745847,11745843,11746749,11745951,,RB,James Conner (11746741),James Conner,11746741,RB/FLEX,7600,PIT@OAK 12/09/2018 04:25PM ET,PIT,23.72
11746678,11746771,11746709,11746445,11746010,11745884,11745830,11745868,11745951,,WR,Mike Evans (11745791),Mike Evans,11745791,WR/FLEX,7500,NO@TB 12/09/2018 01:00PM ET,TB,19.26
11745858,11745801,11745777,11745859,11745923,11745986,11745843,11746695,11746638,,WR,Keenan Allen (11746445),Keenan Allen,11746445,WR/FLEX,7400,CIN@LAC 12/09/2018 04:05PM ET,LAC,19.18
11746784,11746791,11746709,11746690,11746718,11745986,11745830,11746782,11745951,,WR,Stefon Diggs (11745866),Stefon Diggs,11745866,WR/FLEX,7300,MIN@SEA 12/10/2018 08:15PM ET,MIN,20.24
11746392,11745841,11746695,11746445,11746010,11745852,11745794,11746706,11745892,,RB,Aaron Jones (11746755),Aaron Jones,11746755,RB/FLEX,7200,ATL@GB 12/09/2018 01:00PM ET,GB,15.5
11746731,11745856,11745769,11746690,11746176,11746139,11745843,11745940,11745892,,WR,Julian Edelman (11746210),Julian Edelman,11746210,WR/FLEX,7100,NE@MIA 12/09/2018 01:00PM ET,NE,16.82
11746701,11745856,11746695,11746010,11746739,11745852,11745862,11746749,11745951,,QB,Patrick Mahomes (11745796),Patrick Mahomes,11745796,QB,7000,BAL@KC 12/09/2018 01:00PM ET,KC,30.98
11745858,11746753,11746782,11746690,11746793,11745852,11745843,11745876,11746638,,WR,A.J. Green (11745832),A.J. Green,11745832,WR/FLEX,7000,CIN@LAC 12/09/2018 04:05PM ET,CIN,17.38
11746731,11746695,11746709,11745866,11746010,11746493,11745843,11746795,11745892,,RB,Leonard Fournette (11745769),Leonard Fournette,11745769,RB/FLEX,6800,JAX@TEN 12/06/2018 08:20PM ET,JAX,17.76
11746355,11746791,11745856,11746727,11746724,11746139,11745843,11746782,11745892,,WR,Brandin Cooks (11745908),Brandin Cooks,11745908,WR/FLEX,6800,LAR@CHI 12/09/2018 08:20PM ET,LAR,17.39
11745858,11746771,11745856,11745995,11745819,11745923,11745862,11745940,11745951,,QB,Ben Roethlisberger (11746774),Ben Roethlisberger,11746774,QB,6800,PIT@OAK 12/09/2018 04:25PM ET,PIT,25.18
,,,,,,,,,,TE,Travis Kelce (11745843),Travis Kelce,11745843,TE/FLEX,6700,BAL@KC 12/09/2018 01:00PM ET,KC,21.27
,,,,,,,,,,WR,Robert Woods (11745910),Robert Woods,11745910,WR/FLEX,6700,LAR@CHI 12/09/2018 08:20PM ET,LAR,17.69
,,,,,,,,,,RB,Nick Chubb (11745856),Nick Chubb,11745856,RB/FLEX,6700,CAR@CLE 12/09/2018 01:00PM ET,CLE,12.89
