Rank,WSIS,Team DST,Opp,Best,Worst,Avg,Std Dev
1,,Chicago (CHI),at NYG,1,5,1.3,0.7
2,,Seattle (SEA),vs. SF,1,12,2.6,1.6
3,,Tennessee (TEN),vs. NYJ,1,9,3.7,1.3
4,,Kansas City (KC),at OAK,2,9,4.9,1.8
5,,Green Bay (GB),vs. ARI,1,10,5.6,2
6,,Denver (DEN),at CIN,3,11,6.6,1.5
7,,Houston (HOU),vs. CLE,4,17,7.4,1.6
8,,Miami (MIA),vs. BUF,4,12,8,1.6
9,,Los Angeles (LAR),at DET,2,26,9.1,7
10,,Philadelphia (PHI),vs. WAS,5,16,9.8,1.4
11,,Indianapolis (IND),at JAC,5,16,10.6,1.3
12,,Buffalo (BUF),at MIA,7,15,11.5,1.3
13,,Carolina (CAR),at TB,6,17,13.8,1.2
14,,New England (NE),vs. MIN,11,18,14.5,1.5
15,,Baltimore (BAL),at ATL,11,24,14.9,2.1
16,,New Orleans (NO),at DAL,12,26,17.7,2.5
17,,Washington (WAS),at PHI,12,21,17.3,2
18,,Jacksonville (JAC),vs. IND,3,24,17.8,3
19,,Pittsburgh (PIT),vs. LAC,15,24,18.1,1.5
20,,Cleveland (CLE),at HOU,13,25,19.3,2.3
21,,New York (NYJ),at TEN,15,24,20.9,1.4
22,,Minnesota (MIN),at NE,16,28,21.6,2.4
23,,New York (NYG),vs. CHI,18,25,23,1.9
24,,Cincinnati (CIN),vs. DEN,17,26,22.9,2.2
25,,Atlanta (ATL),vs. BAL,16,29,24.3,2.7
26,,Los Angeles (LAC),at PIT,15,28,24.6,1.4
27,,Arizona (ARI),at GB,19,29,26.9,0.8
28,,Dallas (DAL),vs. NO,25,31,28.6,1.2
29,,San Francisco (SF),at SEA,27,31,28.4,1
30,,Tampa Bay (TB),vs. CAR,28,32,29.5,0.6
31,,Detroit (DET),vs. LAR,28,31,30.8,0.4
32,,Oakland (OAK),vs. KC,30,32,32,0
