Rank,WSIS,Running Backs,Team,Opp,Best,Worst,Avg,Std Dev
1,,Todd Gurley,LAR,at DET,1,4,1.1,0.3
2,,Kareem Hunt,KC,at OAK,1,8,2.2,0.4
3,,Christian McCaffrey,CAR,at TB,1,7,2.9,0.7
4,,Ezekiel Elliott,DAL,vs. NO,2,8,4.3,0.6
5,,Saquon Barkley,NYG,vs. CHI,3,10,5.5,1.1
6,,Alvin Kamara,NO,at DAL,3,10,6.4,1.1
7,,Aaron Jones,GB,vs. ARI,2,8,6.6,1.4
8,,James Conner,PIT,vs. LAC,4,9,7.2,0.9
9,,David Johnson,ARI,at GB,7,15,9.8,1
10,,Nick Chubb,CLE,at HOU,8,14,10,0.9
11,,Phillip Lindsay,DEN,at CIN,4,16,10.8,1.2
12,,Joe Mixon,CIN,vs. DEN,6,17,12,1.3
13,,Matt Breida,SF,at SEA,12,29,13.8,1.1
14,,Lamar Miller,HOU,vs. CLE,10,21,14.8,2
15,,Gus Edwards,BAL,at ATL,10,33,16.4,2.9
16,,Austin Ekeler,LAC,at PIT,12,25,16.5,2.5
17,,Chris Carson,SEA,vs. SF,13,28,16.7,1.8
18,,Dalvin Cook,MIN,at NE,15,30,18.1,2
19,,Josh Adams,PHI,vs. WAS,9,25,18.2,2.2
20,,Sony Michel,NE,vs. MIN,11,22,18.5,1.8
21,,Mark Ingram,NO,at DAL,15,27,21.5,1.7
22,,Tarik Cohen,CHI,at NYG,17,37,24,2.6
23,,Dion Lewis,TEN,vs. NYJ,18,30,24.4,2.1
24,,LeSean McCoy,BUF,at MIA,19,32,24.8,2.2
25,,James White,NE,vs. MIN,18,42,26.6,2.8
26,,Tevin Coleman,ATL,vs. BAL,17,32,26.7,3.2
27,,Marlon Mack,IND,at JAC,13,43,24.6,5.7
28,,Adrian Peterson,WAS,at PHI,22,35,27.2,3.3
29,,Carlos Hyde,JAC,vs. IND,21,34,27.4,2.2
30,,Kenyan Drake,MIA,vs. BUF,24,34,29.8,1.6
31,,Jordan Howard,CHI,at NYG,23,36,30,2.6
32,,Peyton Barber,TB,vs. CAR,27,34,31.5,1.5
33,,Doug Martin,OAK,vs. KC,23,40,33.2,2
34,,T.J. Yeldon,JAC,vs. IND,26,45,33.9,3
35,,Frank Gore,MIA,vs. BUF,25,38,34.6,1.5
36,,LeGarrette Blount,DET,vs. LAR,27,38,35.3,2.2
37,,Derrick Henry,TEN,vs. NYJ,30,44,37.1,1.8
