Rank,WSIS,Wide Receivers,Team,Opp,Best,Worst,Avg,Std Dev
1,,Tyreek Hill,KC,at OAK,1,5,1.4,0.6
2,,DeAndre Hopkins,HOU,vs. CLE,1,6,2.7,1
3,,Antonio Brown,PIT,vs. LAC,1,14,2.9,1.9
4,,Michael Thomas,NO,at DAL,3,6,4.4,0.8
5,,Adam Thielen,MIN,at NE,1,15,4.8,1.2
6,,Davante Adams,GB,vs. ARI,3,9,5.6,1.2
7,,Julio Jones,ATL,vs. BAL,2,9,6.7,0.9
8,,Odell Beckham Jr.,NYG,vs. CHI,6,16,8.6,1.2
9,,Brandin Cooks,LAR,at DET,5,16,9.5,2
10,,Robert Woods,LAR,at DET,7,14,10.9,1.6
11,,Mike Evans,TB,vs. CAR,9,20,11.1,1.3
12,,JuJu Smith-Schuster,PIT,vs. LAC,8,16,12.6,1.5
13,,Stefon Diggs,MIN,at NE,8,20,12.6,2
14,,Keenan Allen,LAC,at PIT,6,16,13.1,1.7
15,,Kenny Golladay,DET,vs. LAR,8,18,13.7,1.9
16,,Emmanuel Sanders,DEN,at CIN,10,20,16.4,0.8
17,,Amari Cooper,DAL,vs. NO,11,19,17.1,1.2
18,,T.Y. Hilton,IND,at JAC,12,22,17.8,1.3
19,,Julian Edelman,NE,vs. MIN,18,27,20.3,1.7
20,,Tyler Lockett,SEA,vs. SF,16,29,20.4,2.7
21,,D.J. Moore,CAR,at TB,15,26,21,1.5
22,,Josh Gordon,NE,vs. MIN,17,28,22.2,1.5
23,,Corey Davis,TEN,vs. NYJ,18,31,22.9,1.6
24,,Alshon Jeffery,PHI,vs. WAS,20,39,24.7,1.8
25,,Tyler Boyd,CIN,vs. DEN,22,38,26.2,2.3
26,,Allen Robinson,CHI,at NYG,23,46,27.4,2.8
27,,Doug Baldwin,SEA,vs. SF,22,51,29.1,2.9
28,,Jarvis Landry,CLE,at HOU,21,53,30.1,3.9
29,,Calvin Ridley,ATL,vs. BAL,19,39,30.7,2.1
30,,Larry Fitzgerald,ARI,at GB,26,52,31.1,2.6
31,,Josh Reynolds,LAR,at DET,22,54,31.1,4.1
32,,Demaryius Thomas,HOU,vs. CLE,29,44,34.1,1.9
33,,Courtland Sutton,DEN,at CIN,26,47,34.5,3.4
34,,Adam Humphries,TB,vs. CAR,26,47,35.1,3.2
35,,Tre'Quan Smith,NO,at DAL,23,42,35.5,3.1
36,,David Moore,SEA,vs. SF,25,46,36.7,3.2
37,,Chris Godwin,TB,vs. CAR,26,50,37.5,3.9
38,,Golden Tate,PHI,vs. WAS,23,48,40.8,3.8
39,,Anthony Miller,CHI,at NYG,34,53,41.7,3.5
40,,A.J. Green,CIN,vs. DEN,13,82,33.3,13.5
41,,Sterling Shepard,NYG,vs. CHI,37,61,43,3.3
42,,Taylor Gabriel,CHI,at NYG,32,52,43.2,3.6
43,,Christian Kirk,ARI,at GB,36,53,43.9,3.5
44,,Mike Williams,LAC,at PIT,37,60,45.3,4.1
45,,Curtis Samuel,CAR,at TB,25,66,45.5,5.3
46,,Dede Westbrook,JAC,vs. IND,35,60,48.7,3.9
47,,Mohamed Sanu,ATL,vs. BAL,37,73,48.7,3.3
48,,Josh Doctson,WAS,at PHI,21,72,49.1,8.9
49,,Marquez Valdes-Scantling,GB,vs. ARI,24,76,49.9,5
50,,Quincy Enunwa,NYJ,at TEN,34,66,50,2.6
51,,Michael Crabtree,BAL,at ATL,39,79,53.2,7.4
52,,Donte Moncrief,JAC,vs. IND,45,61,53.4,3.3
53,,Tyrell Williams,LAC,at PIT,48,72,58.5,4.9
54,,John Brown,BAL,at ATL,48,74,56.7,5
55,,Devante Parker,MIA,vs. BUF,43,74,58.1,5.7
56,,Antonio Callaway,CLE,at HOU,36,77,58.3,4.4
57,,Robby Anderson,NYJ,at TEN,43,82,59.8,4.9
58,,Kenny Stills,MIA,vs. BUF,52,75,60.9,4.6
59,,John Ross,CIN,vs. DEN,47,99,61.8,7.8
60,,Keke Coutee,HOU,vs. CLE,41,78,57.3,7.2
61,,Bruce Ellington,DET,vs. LAR,40,114,60.5,8.7
62,,Jermaine Kearse,NYJ,at TEN,47,83,63.1,4.7
63,,Cole Beasley,DAL,vs. NO,43,76,65.1,5.6
64,,Willie Snead,BAL,at ATL,59,76,66.1,3.3
65,,Marcell Ateman,OAK,vs. KC,28,85,67.7,8.2
66,,Michael Gallup,DAL,vs. NO,58,76,67.9,4.1
67,,Devin Funchess,CAR,at TB,27,147,61.9,17.7
68,,Jordy Nelson,OAK,vs. KC,59,81,70.3,3.3
69,,Dante Pettis,SF,at SEA,57,82,71,5.5
70,,Zay Jones,BUF,at MIA,63,84,71.5,3.1
71,,Marquise Goodwin,SF,at SEA,55,79,67.2,5.7
72,,Dontrelle Inman,IND,at JAC,62,83,74.7,5
73,,Trey Quinn,WAS,at PHI,57,89,74.9,6.6
74,,Chris Conley,KC,at OAK,39,91,70.6,10.8
75,,Chris Hogan,NE,vs. MIN,62,94,76.9,5.6
76,,Kelvin Benjamin,BUF,at MIA,67,98,77.8,5.1
77,,Nelson Agholor,PHI,vs. WAS,63,84,77.3,3.5
78,,Robert Foster,BUF,at MIA,27,98,79.8,7.6
79,,Seth Roberts,OAK,vs. KC,61,87,76.9,7
80,,Rashard Higgins,CLE,at HOU,74,101,84.1,5.8
81,,Equanimeous St. Brown,GB,vs. ARI,53,90,80.8,5.5
82,,Tajae Sharpe,TEN,vs. NYJ,57,98,83.6,6.8
83,,Danny Amendola,MIA,vs. BUF,60,168,75,17.2
84,,Maurice Harris,WAS,at PHI,69,110,85.3,4.9
85,,Chester Rogers,IND,at JAC,71,97,82.7,5.8
86,,Ryan Switzer,PIT,vs. LAC,68,99,86.3,3.9
87,,Keith Kirkwood,NO,at DAL,63,97,87.9,6.2
88,,Kendrick Bourne,SF,at SEA,76,119,88.3,3.9
89,,Travis Benjamin,LAC,at PIT,80,115,89.7,3.1
90,,Randall Cobb,GB,vs. ARI,56,151,85.4,12.3
91,,Laquon Treadwell,MIN,at NE,81,107,93.1,3.6
92,,Keelan Cole,JAC,vs. IND,82,134,94.8,9.8
93,,Taywan Taylor,TEN,vs. NYJ,81,120,93.6,3.1
94,,Jarius Wright,CAR,at TB,70,107,94.5,5.1
95,,Aldrick Robinson,MIN,at NE,83,106,96.3,3.9
96,,Ryan Grant,IND,at JAC,91,112,98.6,2.9
97,,Austin Carr,NO,at DAL,85,109,96.9,5.4
98,,TJ Jones,DET,vs. LAR,83,115,100.5,4.5
99,,Cordarrelle Patterson,NE,vs. MIN,80,116,99.5,5.1
100,,Allen Hurns,DAL,vs. NO,68,117,101.3,3.9
101,,Leonte Carroo,MIA,vs. BUF,77,118,101.4,8.4
102,,Torrey Smith,CAR,at TB,75,114,102.2,7.3
103,,Demarcus Robinson,KC,at OAK,89,114,103.1,4.4
104,,Jamison Crowder,WAS,at PHI,71,148,100.7,10.5
105,,Tim Patrick,DEN,at CIN,101,132,110.2,6.2
106,,James Washington,PIT,vs. LAC,89,134,110.4,7.8
107,,Trent Taylor,SF,at SEA,97,157,110.4,7.5
108,,DaeSean Hamilton,DEN,at CIN,81,124,106.8,8.1
109,,Breshad Perriman,CLE,at HOU,99,139,108.6,6
110,,Bennie Fowler,NYG,vs. CHI,101,137,110,4.7
111,,Cam Batson,TEN,vs. NYJ,97,129,110.8,5.2
112,,Isaiah McKenzie,BUF,at MIA,96,138,111.2,4.6
