"Rank","WSIS","Wide Receivers","Team","Opp","Best","Worst","Avg","Std Dev"
"1","","Antonio Brown","PIT","at OAK","1","6","1.6","0.9"
"2","","Michael Thomas","NO","at TB","1","6","2.2","1.0"
"3","","Davante Adams","GB","vs. ATL","1","4","2.9","0.8"
"4","","DeAndre Hopkins","HOU","vs. IND","1","6","3.8","0.8"
"5","","Keenan Allen","LAC","vs. CIN","1","9","5.1","0.9"
"6","","Julio Jones","ATL","at GB","3","10","6.3","1.1"
"7","","Tyreek Hill","KC","vs. BAL","4","12","7.2","1.6"
"8","","Odell Beckham Jr.","NYG","at WAS","5","12","7.9","1.0"
"9","","Adam Thielen","MIN","at SEA","5","13","8.7","1.1"
"10","","JuJu Smith-Schuster","PIT","at OAK","7","15","10.0","1.1"
"11","","Mike Evans","TB","vs. NO","7","18","11.8","1.5"
"12","","T.Y. Hilton","IND","at HOU","8","16","12.7","1.9"
"13","","Brandin Cooks","LAR","at CHI","10","19","12.7","1.4"
"14","","Robert Woods","LAR","at CHI","12","25","13.9","1.2"
"15","","Amari Cooper","DAL","vs. PHI","9","16","14.2","1.3"
"16","","Stefon Diggs","MIN","at SEA","11","23","16.1","1.5"
"17","","Kenny Golladay","DET","at ARI","12","28","18.4","3.1"
"18","","Josh Gordon","NE","at MIA","13","31","18.7","2.1"
"19","","Julian Edelman","NE","at MIA","17","24","18.7","1.3"
"20","","Chris Godwin","TB","vs. NO","15","31","20.7","2.4"
"21","","Tyler Lockett","SEA","vs. MIN","17","33","21.6","2.2"
"22","","D.J. Moore","CAR","at CLE","16","34","22.6","2.5"
"23","","Courtland Sutton","DEN","at SF","16","38","23.9","3.7"
"24","","Jarvis Landry","CLE","vs. CAR","20","40","24.6","2.2"
"25","","Allen Robinson","CHI","vs. LAR","20","50","24.8","2.7"
"26","","Tyler Boyd","CIN","at LAC","21","35","25.2","2.3"
"27","","Adam Humphries","TB","vs. NO","17","48","25.9","4.0"
"28","","Larry Fitzgerald","ARI","vs. DET","20","35","27.3","2.2"
"29","","Corey Davis","TEN","vs. JAC","22","39","29.7","2.7"
"30","","Calvin Ridley","ATL","at GB","20","37","30.2","2.2"
"31","","Doug Baldwin","SEA","vs. MIN","23","64","31.3","1.9"
"32","","Alshon Jeffery","PHI","at DAL","26","60","32.6","3.3"
"33","","Golden Tate","PHI","at DAL","23","37","33.4","2.2"
"34","","Tre'Quan Smith","NO","at TB","26","51","34.6","4.1"
"35","","Josh Reynolds","LAR","at CHI","29","50","37.0","3.7"
"36","","Taylor Gabriel","CHI","vs. LAR","27","54","38.4","4.5"
"37","","Curtis Samuel","CAR","at CLE","24","63","35.4","4.2"
"38","","Dante Pettis","SF","vs. DEN","21","50","39.0","4.8"
"39","","Zay Jones","BUF","vs. NYJ","24","51","39.4","3.8"
"40","","Demaryius Thomas","HOU","vs. IND","29","49","38.1","2.5"
"41","","Anthony Miller","CHI","vs. LAR","35","59","41.8","3.8"
"42","","Mike Williams","LAC","vs. CIN","27","62","40.7","2.7"
"43","","Sterling Shepard","NYG","at WAS","39","70","45.2","5.1"
"44","","Michael Gallup","DAL","vs. PHI","38","54","45.4","2.2"
"45","","Mohamed Sanu","ATL","at GB","34","70","43.3","3.6"
"46","","Tyrell Williams","LAC","vs. CIN","34","58","46.6","4.3"
"47","","Devante Parker","MIA","vs. NE","37","61","46.7","3.9"
"48","","Kenny Stills","MIA","vs. NE","38","74","48.2","5.1"
"49","","Antonio Callaway","CLE","vs. CAR","35","67","49.4","3.1"
"50","","Devin Funchess","CAR","at CLE","41","66","52.7","5.0"
"51","","Marquez Valdes-Scantling","GB","vs. ATL","38","76","51.8","4.4"
"52","","Dede Westbrook","JAC","at TEN","36","65","53.4","3.7"
"53","","Donte Moncrief","JAC","at TEN","37","75","55.1","3.8"
"54","","Jordy Nelson","OAK","vs. PIT","46","79","53.6","4.5"
"55","","David Moore","SEA","vs. MIN","36","65","54.1","5.1"
"56","","Chris Conley","KC","vs. BAL","33","77","57.1","7.6"
"57","","Josh Doctson","WAS","vs. NYG","49","77","58.6","4.7"
"58","","John Brown","BAL","at KC","43","77","58.7","5.0"
"59","","John Ross","CIN","at LAC","47","83","59.2","3.5"
"60","","Randall Cobb","GB","vs. ATL","43","82","63.5","5.5"
"61","","Robby Anderson","NYJ","at BUF","47","72","60.9","4.5"
"62","","Michael Crabtree","BAL","at KC","48","82","62.9","6.3"
"63","","Bruce Ellington","DET","at ARI","36","78","60.1","5.5"
"64","","DaeSean Hamilton","DEN","at SF","40","98","65.3","10.3"
"65","","Marquise Goodwin","SF","vs. DEN","36","76","62.3","6.6"
"66","","Jamison Crowder","WAS","vs. NYG","58","76","67.5","2.9"
"67","","Nelson Agholor","PHI","at DAL","59","83","70.1","5.7"
"68","","Quincy Enunwa","NYJ","at BUF","59","74","65.3","3.4"
"69","","Marcell Ateman","OAK","vs. PIT","43","82","69.5","6.9"
"70","","Robert Foster","BUF","vs. NYJ","45","90","71.0","6.2"
"71","","Willie Snead","BAL","at KC","56","84","74.5","4.0"
"72","","Tajae Sharpe","TEN","vs. JAC","61","86","76.0","4.2"
"73","","Seth Roberts","OAK","vs. PIT","63","84","76.1","5.7"
"74","","Keith Kirkwood","NO","at TB","30","84","73.8","4.5"
"75","","Keke Coutee","HOU","vs. IND","34","157","72.5","9.7"
"76","","Taywan Taylor","TEN","vs. JAC","60","88","75.4","4.3"
"77","","Cole Beasley","DAL","vs. PHI","56","87","75.9","5.7"
"78","","Jermaine Kearse","NYJ","at BUF","70","88","79.0","3.9"
"79","","Kendrick Bourne","SF","vs. DEN","67","99","79.5","5.4"
"80","","Rashard Higgins","CLE","vs. CAR","45","89","79.5","6.5"
"81","","Chris Hogan","NE","at MIA","68","97","81.6","5.5"
"82","","Tim Patrick","DEN","at SF","55","111","84.6","12.3"
"83","","Danny Amendola","MIA","vs. NE","55","156","84.3","10.0"
"84","","Ryan Grant","IND","at HOU","71","102","87.2","5.4"
"85","","Aldrick Robinson","MIN","at SEA","78","101","87.1","3.6"
"86","","Travis Benjamin","LAC","vs. CIN","78","104","84.6","2.7"
"87","","Chester Rogers","IND","at HOU","76","125","90.0","4.3"
"88","","Keelan Cole","JAC","at TEN","70","103","87.5","4.7"
"89","","Cordarrelle Patterson","NE","at MIA","76","119","92.6","6.7"
"90","","Ryan Switzer","PIT","at OAK","63","102","90.0","6.2"
"91","","TJ Jones","DET","at ARI","85","107","93.5","3.5"
"92","","Equanimeous St. Brown","GB","vs. ATL","74","114","93.9","8.3"
"93","","Jaron Brown","SEA","vs. MIN","75","110","95.9","2.7"
