"Rank","WSIS","Running Backs","Team","Opp","Best","Worst","Avg","Std Dev"
"1","","Todd Gurley","LAR","vs. PHI","1","4","1.2","0.5"
"2","","Saquon Barkley","NYG","vs. TEN","1","7","2.6","0.8"
"3","","Ezekiel Elliott","DAL","at IND","1","6","2.9","0.8"
"4","","Christian McCaffrey","CAR","vs. NO","1","5","3.7","0.6"
"5","","Alvin Kamara","NO","at CAR","3","9","5.7","1.1"
"6","","Phillip Lindsay","DEN","vs. CLE","4","9","6.7","0.9"
"7","","Joe Mixon","CIN","vs. OAK","4","10","7.0","1.1"
"8","","Nick Chubb","CLE","at DEN","5","11","7.2","1.3"
"9","","Leonard Fournette","JAC","vs. WAS","5","12","9.2","0.9"
"10","","Dalvin Cook","MIN","vs. MIA","7","15","10.2","0.9"
"11","","David Johnson","ARI","at ATL","2","18","10.7","1.7"
"12","","Chris Carson","SEA","at SF","11","28","13.1","1.7"
"13","","Lamar Miller","HOU","at NYJ","11","21","13.3","1.2"
"14","","Aaron Jones","GB","at CHI","1","25","14.4","2.0"
"15","","Justin Jackson","LAC","at KC","11","29","16.9","3.6"
"16","","Tarik Cohen","CHI","vs. GB","13","24","17.0","1.7"
"17","","Sony Michel","NE","at PIT","13","28","17.6","3.0"
"18","","Mark Ingram","NO","at CAR","12","22","18.4","1.4"
"19","","Jeff Wilson","SF","vs. SEA","12","29","18.5","2.6"
"20","","Derrick Henry","TEN","at NYG","12","23","20.5","1.6"
"21","","Gus Edwards","BAL","vs. TB","16","31","22.3","3.7"
"22","","Jaylen Samuels","PIT","vs. NE","13","36","22.5","3.7"
"23","","James White","NE","at PIT","20","33","23.0","1.7"
"24","","Josh Adams","PHI","at LAR","14","32","25.6","2.2"
"25","","Jordan Howard","CHI","vs. GB","20","35","26.1","2.1"
"26","","Marlon Mack","IND","vs. DAL","16","32","26.4","2.0"
"27","","Doug Martin","OAK","at CIN","12","37","27.2","1.6"
"28","","Tevin Coleman","ATL","vs. ARI","21","33","27.6","3.1"
"29","","Damien Williams","KC","vs. LAC","14","66","29.1","8.7"
"30","","Kenyan Drake","MIA","at MIN","26","35","31.5","1.4"
"31","","Dion Lewis","TEN","at NYG","23","45","32.2","4.1"
"32","","Adrian Peterson","WAS","at JAC","21","35","32.2","2.0"
"33","","Kenneth Dixon","BAL","vs. TB","26","53","32.3","2.9"
"34","","Elijah McGuire","NYJ","vs. HOU","25","50","33.6","3.3"
"35","","Jalen Richard","OAK","at CIN","33","42","36.2","1.9"
"36","","Peyton Barber","TB","at BAL","29","41","36.7","1.1"
"37","","Ito Smith","ATL","vs. ARI","30","52","37.4","3.0"
"38","","Frank Gore","MIA","at MIN","33","53","38.0","2.3"
"39","","Rashaad Penny","SEA","at SF","34","54","41.2","4.0"
"40","","LeGarrette Blount","DET","at BUF","34","55","41.7","3.3"
"41","","Royce Freeman","DEN","vs. CLE","39","49","42.8","1.7"
"42","","Theo Riddick","DET","at BUF","39","50","43.4","2.1"
"43","","Stevan Ridley","PIT","vs. NE","36","54","45.9","3.4"
"44","","Zach Zenner","DET","at BUF","34","81","44.0","6.7"
"45","","Chris Thompson","WAS","at JAC","41","50","46.5","2.1"
"46","","Chris Ivory","BUF","vs. DET","33","62","44.5","5.5"
"47","","Nyheim Hines","IND","vs. DAL","43","53","48.3","2.1"
"48","","Latavius Murray","MIN","vs. MIA","39","58","48.4","3.7"
"49","","Rex Burkhead","NE","at PIT","38","59","48.2","3.9"
"50","","Darren Sproles","PHI","at LAR","41","58","51.5","3.3"
"51","","Giovani Bernard","CIN","vs. OAK","49","55","51.7","1.4"
"52","","T.J. Yeldon","JAC","vs. WAS","46","68","53.0","2.5"
"53","","Alfred Blue","HOU","at NYJ","38","60","54.5","1.9"
"54","","Duke Johnson","CLE","at DEN","44","62","54.2","3.9"
"55","","Marcus Murphy","BUF","vs. DET","49","79","56.7","2.8"
"56","","Spencer Ware","KC","vs. LAC","11","105","34.1","18.5"
"57","","Trenton Cannon","NYJ","vs. HOU","55","73","58.3","2.0"
"58","","Ty Montgomery","BAL","vs. TB","50","65","58.3","3.3"
"59","","Chase Edmonds","ARI","at ATL","57","63","59.6","1.4"
"60","","Mike Davis","SEA","at SF","54","66","60.5","2.0"
"61","","Jamaal Williams","GB","at CHI","59","69","63.1","2.4"
"62","","Detrez Newsome","LAC","at KC","43","96","58.5","10.8"
"63","","Jordan Wilkins","IND","vs. DAL","60","75","65.6","3.6"
"64","","Carlos Hyde","JAC","vs. WAS","25","72","66.0","2.9"
"65","","Wayne Gallman","NYG","vs. TEN","63","74","66.5","1.7"
"66","","Jacquizz Rodgers","TB","at BAL","62","75","65.6","2.0"
"67","","Kyle Juszczyk","SF","vs. SEA","63","75","69.0","2.2"
"68","","Wendell Smallwood","PHI","at LAR","57","83","69.8","3.6"
"69","","Isaiah Crowell","NYJ","vs. HOU","38","108","61.1","9.5"
"70","","Devontae Booker","DEN","vs. CLE","64","74","70.5","2.6"
"71","","Alfred Morris","SF","vs. SEA","60","82","73.2","5.2"
"72","","Rod Smith","DAL","at IND","67","79","73.3","2.5"
"73","","DeAndre Washington","OAK","at CIN","61","78","74.3","3.6"
"74","","Melvin Gordon","LAC","at KC","15","107","55.6","17.9"
"75","","James Develin","NE","at PIT","66","87","77.1","5.1"
"76","","John Kelly","LAR","vs. PHI","69","90","74.9","3.1"
"77","","Matt Breida","SF","vs. SEA","24","110","64.5","16.4"
"78","","Taquan Mizzell","CHI","vs. GB","67","85","77.7","4.1"
"79","","LeSean McCoy","BUF","vs. DET","22","106","68.2","8.6"
"80","","Kerryon Johnson","DET","at BUF","44","112","71.7","8.8"
"81","","Charcandrick West","KC","vs. LAC","42","97","69.2","11.8"
"82","","Darrel Williams","KC","vs. LAC","50","86","76.5","8.7"
"83","","Ronald Jones II","TB","at BAL","65","83","78.4","3.7"
"84","","Kalen Ballage","MIA","at MIN","76","87","82.7","3.1"
"85","","Cameron Artis-Payne","CAR","vs. NO","74","95","86.3","2.5"
"86","","Brandon Bolden","MIA","at MIN","75","102","87.5","4.7"
"87","","James Conner","PIT","vs. NE","59","109","78.8","7.1"
"88","","Elijhaa Penny","NYG","vs. TEN","80","96","87.7","3.4"
"89","","Javorius Allen","BAL","vs. TB","74","103","84.7","3.1"
"90","","Alex Armah","CAR","vs. NO","76","97","89.6","4.4"
"91","","Andy Janovich","DEN","vs. CLE","85","98","92.0","1.9"
"92","","J.D. McKissic","SEA","at SF","75","92","88.0","2.9"
"93","","CJ Ham","MIN","vs. MIA","82","100","92.4","3.1"
"94","","Trey Edmunds","PIT","vs. NE","77","96","90.0","3.6"
"95","","Corey Clement","PHI ","at LAR","55","85","74.6","10.2"
"96","","Mark Walton","CIN","vs. OAK","84","98","93.5","2.8"
"97","","Justin Davis","LAR","vs. PHI","67","97","77.4","7.6"
"98","","Byron Marshall","WAS","at JAC","70","99","80.6","9.4"
"99","","Cordarrelle Patterson","NE","at PIT","64","96","83.0","8.5"
"100","","Anthony Sherman","KC","vs. LAC","75","101","88.4","8.2"
"101","","Tommy Bohanon","JAC","vs. WAS","84","100","94.1","4.3"
"102","","Patrick DiMarco","BUF","vs. DET","84","102","92.6","6.4"
