"Rank","WSIS","Tight Ends","Team","Opp","Best","Worst","Avg","Std Dev"
"1","","Travis Kelce","KC","vs. LAC","1","4","1.1","0.3"
"2","","Zach Ertz","PHI","at LAR","1","5","2.3","0.8"
"3","","Eric Ebron","IND","vs. DAL","1","6","3.4","0.9"
"4","","George Kittle","SF","vs. SEA","2","5","3.8","0.7"
"5","","Rob Gronkowski","NE","at PIT","1","7","5.4","0.8"
"6","","Jared Cook","OAK","at CIN","4","8","6.2","0.9"
"7","","David Njoku","CLE","at DEN","5","14","8.2","1.1"
"8","","Cameron Brate","TB","at BAL","7","12","8.7","0.9"
"9","","Vance McDonald","PIT","vs. NE","8","17","10.4","1.3"
"10","","Trey Burton","CHI","vs. GB","10","21","12.7","1.5"
"11","","Evan Engram","NYG","vs. TEN","7","21","13.6","3.0"
"12","","Kyle Rudolph","MIN","vs. MIA","10","18","13.8","1.7"
"13","","Austin Hooper","ATL","vs. ARI","8","16","11.7","1.6"
"14","","C.J. Uzomah","CIN","vs. OAK","9","20","15.0","1.6"
"15","","Ian Thomas","CAR","vs. NO","9","23","15.9","2.9"
"16","","Jimmy Graham","GB","at CHI","12","20","16.3","1.4"
"17","","Jaylen Samuels","PIT","vs. NE","2","14","6.3","1.8"
"18","","Chris Herndon IV","NYJ","vs. HOU","13","25","17.3","1.8"
"19","","Vernon Davis","WAS","at JAC","11","32","18.5","3.2"
"20","","Gerald Everett","LAR","vs. PHI","16","23","19.4","1.4"
"21","","Dallas Goedert","PHI","at LAR","18","37","23.7","3.4"
"22","","Benjamin Watson","NO","at CAR","17","35","22.4","3.0"
"23","","Jordan Thomas","HOU","at NYJ","21","27","23.1","1.3"
"24","","Antonio Gates","LAC","at KC","17","32","25.8","2.5"
"25","","Mark Andrews","BAL","vs. TB","21","36","26.2","3.0"
"26","","Ryan Griffin","HOU","at NYJ","21","41","28.6","4.3"
"27","","Ricky Seals-Jones","ARI","at ATL","22","33","27.3","2.8"
"28","","Jesse James","PIT","vs. NE","23","34","28.6","2.1"
"29","","Tyler Higbee","LAR","vs. PHI","20","35","29.9","1.6"
"30","","Matt LaCosse","DEN","vs. CLE","20","37","29.2","4.6"
"31","","Dan Arnold","NO","at CAR","18","35","28.2","4.5"
"32","","Anthony Firkser","TEN","at NYG","11","37","26.4","5.7"
"33","","Nick Vannett","SEA","at SF","26","43","32.0","2.2"
"34","","Ed Dickson","SEA","at SF","30","48","36.5","2.9"
"35","","Blake Jarwin","DAL","at IND","23","43","30.6","4.3"
"36","","Hayden Hurst","BAL","vs. TB","28","64","39.6","6.8"
"37","","Jordan Reed","WAS","at JAC","10","81","33.0","11.1"
"38","","Levine Toilolo","DET","at BUF","23","41","33.8","3.3"
"39","","Mike Gesicki","MIA","at MIN","34","61","40.6","4.0"
"40","","James O'Shaughnessy","JAC","vs. WAS","26","44","35.4","3.7"
"41","","Charles Clay","BUF","vs. DET","36","41","38.2","1.3"
"42","","Demetrius Harris","KC","vs. LAC","34","43","39.6","1.6"
"43","","Virgil Green","LAC","at KC","36","53","40.9","2.2"
"44","","Josh Hill","NO","at CAR","30","52","43.9","3.5"
"45","","Adam Shaheen","CHI","vs. GB","41","54","44.5","2.8"
"46","","Lance Kendricks","GB","at CHI","43","54","47.6","2.3"
"47","","Luke Willson","DET","at BUF","41","62","48.1","2.8"
"48","","Rhett Ellison","NYG","vs. TEN","39","65","48.5","3.9"
"49","","Jordan Akins","HOU","at NYJ","40","64","47.3","3.8"
"50","","Dalton Schultz","DAL","at IND","45","54","49.8","2.7"
"51","","Luke Stocker","TEN","at NYG","42","58","48.3","5.0"
"52","","Logan Thomas","BUF","vs. DET","41","58","52.1","2.8"
"53","","Nick O'Leary","MIA","at MIN","44","65","53.0","4.4"
"54","","Nick Boyle","BAL","vs. TB","45","56","51.7","3.0"
"55","","Blake Bell","JAC","vs. WAS","50","64","56.8","2.5"
"56","","Jermaine Gresham","ARI","at ATL","51","58","54.3","1.2"
"57","","Jordan Leggett","NYJ","vs. HOU","40","60","54.6","2.8"
"58","","Mo Alie-Cox","IND","vs. DAL","27","69","46.4","10.4"
"59","","Michael Roberts","DET ","at BUF","46","50","47.5","1.5"
"60","","Antony Auclair","TB","at BAL","56","64","58.8","2.5"
"61","","Erik Swoope","FA","","39","60","49.0","7.6"
"62","","Brian Parker","DEN","vs. CLE","49","67","56.0","6.9"
"63","","Durham Smythe","MIA","at MIN","55","71","62.0","3.7"
"64","","Darren Fells","CLE","at DEN","53","71","62.7","2.9"
"65","","Trey Edmunds","PIT","vs. NE","55","63","59.4","3.2"
"66","","Lee Smith","OAK","at CIN","36","65","62.0","3.7"
"67","","Maxx Williams","BAL","vs. TB","48","79","65.2","9.8"
"68","","Scott Simonson","NYG","vs. TEN","47","68","62.4","2.9"
"69","","MyCole Pruitt","TEN","at NYG","56","75","62.6","5.9"
"70","","Eric Saubert","ATL","vs. ARI","50","70","63.2","2.0"
"71","","Jeremy Sprinkle","WAS","at JAC","63","69","65.6","2.3"
"72","","Xavier Grimble","PIT","vs. NE","57","70","65.8","3.5"
"73","","Derek Carrier","OAK","at CIN","52","73","66.2","5.7"
"74","","Jason Croom","BUF","vs. DET","47","67","57.7","8.2"
"75","","Matt Lengel","CIN","vs. OAK","59","66","63.5","2.7"
"76","","Garrett Celek","SF","vs. SEA","62","77","67.2","3.1"
"77","","Seth DeValve","CLE","at DEN","53","70","67.6","2.9"
"78","","Rico Gathers","DAL","at IND","61","80","71.3","4.8"
"79","","Eric Tomlinson","NYJ","vs. HOU","59","72","68.0","3.7"
"80","","Marcedes Lewis","GB","at CHI","65","73","69.2","2.9"
"81","","Chris Manhertz","CAR","vs. NO","57","73","66.8","6.2"
"82","","Jacob Hollister","NE","at PIT","66","78","71.5","5.1"
"83","","Robert Tonyan","GB","at CHI","66","76","73.2","2.5"
"84","","Jordan Franks","CIN","vs. OAK","70","76","73.0","3.0"
"85","","Orson Charles","CLE","at DEN","72","77","74.5","2.5"
"86","","Alan Cross","TB","at BAL","74","78","76.0","2.0"
""
""
