--------------------------------------------------------------------------------
FORMAT:
NAME,POSITION,TEAM,OPP,FANTASY PROS RANK,ESPN PROJ POINTS, DRAFT KINGS SALARY
--------------------------------------------------------------------------------
Travis Kelce,TE,Kansas City Chiefs,Baltimore Ravens,1.0,19.4,6700
Zach Ertz,TE,Philadelphia Eagles,Dallas Cowboys,2.3,16.2,6400
Eric Ebron,TE,Indianapolis Colts,Houston Texans,3.8,16.1,5700
George Kittle,TE,San Francisco 49ers,Denver Broncos,4.3,14.4,5500
Jared Cook,TE,Oakland Raiders,Pittsburgh Steelers,7.1,12.0,5200
Rob Gronkowski,TE,New England Patriots,Miami Dolphins,5.5,11.7,4800
Jordan Reed,TE,Washington Redskins,New York Giants,10.4,10.6,4600
Jimmy Graham,TE,Green Bay Packers,Atlanta Falcons,13.6,10.3,4400
Austin Hooper,TE,Atlanta Falcons,Green Bay Packers,10.8,11.6,4300
David Njoku,TE,Cleveland Browns,Carolina Panthers,8.3,8.3,3900
Vance McDonald,TE,Pittsburgh Steelers,Oakland Raiders,10.9,8.1,3800
Evan Engram,TE,New York Giants,Washington Redskins,18.3,10.3,3700
C.J. Uzomah,TE,Cincinnati Bengals,Los Angeles Chargers,17.0,8.3,3500
Kyle Rudolph,TE,Minnesota Vikings,Seattle Seahawks,15.4,8.5,3500
Cameron Brate,TE,Tampa Bay Buccaneers,New Orleans Saints,10.2,9.8,3500
Trey Burton,TE,Chicago Bears,Los Angeles Rams,13.4,7.6,3400
Jesse James,TE,Pittsburgh Steelers,Oakland Raiders,29.2,5.4,3300
Jordan Thomas,TE,Houston Texans,Indianapolis Colts,24.5,3.3,3000
Chris Herndon,TE,New York Jets,Buffalo Bills,17.9,7.3,3000
Vernon Davis,TE,Washington Redskins,New York Giants,31.3,5.0,2900
Antonio Gates,TE,Los Angeles Chargers,Cincinnati Bengals,23.8,5.7,2800
Mark Andrews,TE,Baltimore Ravens,Kansas City Chiefs,24.0,3.8,2800
Ian Thomas,TE,Carolina Panthers,Cleveland Browns,22.0,8.1,2700
Ricky Seals-Jones,TE,Arizona Cardinals,Detroit Lions,26.2,5.6,2700
Rhett Ellison,TE,New York Giants,Washington Redskins,33.4,2.7,2700
Gerald Everett,TE,Los Angeles Rams,Chicago Bears,22.0,6.0,2700
Matt LaCosse,TE,Denver Broncos,San Francisco 49ers,20.4,7.1,2700
